id,y,age,agecat,sexe,school_type,parent_educ,study_hrs,sleep_hrs,sleep_qual,attend_pct,attend_pct_cat,web_access,trav_time,extra_act,study_method
1,57.3,18.2,5,1,2,1,11.9,5,1,84.40000000000001,4,2,3,2,2
2,60,14.1,1,2,2,6,13.6,5.8,1,78.90000000000001,3,2,3,2,5
3,89.5,16.4,3,1,2,6,11.4,7.5,3,92.40000000000001,4,2,1,2,3
4,79.3,16.3,3,3,1,6,13.9,5.7,1,93.5,4,2,1,2,2
5,53.4,14.6,1,2,1,6,8.9,5.6,2,66.3,2,2,2,2,2
6,29.7,14,1,3,2,3,2.7,7,3,51.3,1,2,4,2,1
7,50.2,18.4,5,1,1,1,6.6,8,3,66.90000000000001,2,2,3,1,4
8,72.3,18.4,5,3,1,6,10.7,6.9,2,87.90000000000001,4,1,2,1,1
9,36.3,14.7,1,1,1,2,4.8,7.3,2,64.40000000000001,2,1,4,1,3
10,77.59999999999999,18.5,5,3,2,3,10.1,8.6,3,80.59999999999999,3,2,3,2,6
11,43.3,17.9,4,1,1,2,7.6,6.6,1,55.2,1,2,4,2,1
12,33.4,14.1,1,2,1,1,4.9,5.2,1,51.3,1,1,3,1,1
13,63.7,14.8,1,2,1,5,11,6.8,1,81.2,4,2,3,2,5
14,44.7,16.6,3,1,2,1,8,5.9,2,65.5,2,1,3,1,4
15,44.4,16.9,3,2,1,2,7.7,8.199999999999999,3,60.1,1,1,3,1,1
16,44.6,17,3,2,1,2,6.4,5.1,1,53.7,1,2,4,1,1
17,55.7,18.2,5,2,1,5,7.6,6.7,1,85.2,4,2,4,2,3
18,36.3,16.9,3,3,1,1,5.9,6.3,2,59.4,1,2,1,1,4
19,63.4,18.1,5,1,1,6,11.2,6.7,2,85.90000000000001,4,2,1,2,6
20,73.59999999999999,16.8,3,3,1,3,11.8,7.9,3,78.8,3,2,1,2,3
21,61.6,16.5,3,1,1,4,7.9,6.3,1,67.40000000000001,2,2,2,1,5
22,56.5,14,1,1,1,1,7.1,6.6,1,86.09999999999999,4,2,3,2,1
23,58.7,16.6,3,3,2,6,13.4,5.8,1,65,2,2,4,1,1
24,59,15.9,2,3,1,3,9,7.1,3,79.40000000000001,3,2,2,2,1
25,40.3,18.2,5,1,1,6,9,5.1,1,61.7,1,1,4,1,2
26,65.09999999999999,14.9,1,1,2,5,11.2,8.5,2,71.2,2,2,4,1,6
27,60.6,15.4,2,3,1,6,7.8,8.5,3,72.40000000000001,3,2,1,1,2
28,41.2,14.8,1,3,2,6,4.7,7.6,3,69.90000000000001,2,2,3,2,1
29,68.5,15.9,2,2,1,3,9.5,6.8,2,78.7,3,2,1,2,4
30,55.1,15.4,2,2,2,3,8.6,5,1,70.09999999999999,2,2,2,2,1
31,47,14.9,1,1,1,1,8.6,6.9,1,61,1,2,4,1,4
32,37.4,17.1,4,3,2,6,8.5,6,1,74.59999999999999,3,2,4,2,6
33,81.8,15,1,2,1,3,13.4,7.6,3,88.2,4,2,1,2,5
34,38.4,15.2,2,2,1,6,11.4,6.2,2,60.4,1,2,2,2,4
35,38.8,16.1,3,2,1,1,4.2,6.3,1,74,3,2,3,1,4
36,56.8,14.7,1,3,1,4,5.2,8.800000000000001,3,70.90000000000001,2,1,2,1,3
37,66,16.3,3,2,2,2,8.1,7.5,2,70.40000000000001,2,2,2,1,1
38,43.8,16.5,3,3,1,6,8.6,6.9,1,64,2,2,2,2,1
39,60.4,16.8,3,2,2,1,8.9,7,2,75.8,3,2,2,2,1
40,53.6,18.3,5,1,1,2,7.2,5.6,1,72.09999999999999,3,2,4,2,1
41,39.1,14.1,1,1,2,3,6.6,6.4,2,56.4,1,2,3,1,1
42,81.7,15.1,2,3,2,4,8.4,9.9,3,97.7,4,2,1,2,1
43,45.3,18.8,5,3,1,2,6.4,5.7,1,58.8,1,2,4,1,3
44,56,15.8,2,1,2,2,8.9,6.9,2,68.40000000000001,2,1,2,1,6
45,64.59999999999999,16.2,3,2,2,4,7.6,7.2,2,80.5,3,2,2,1,1
46,30.3,16,2,2,2,5,7.2,6.4,1,51.1,1,2,3,1,5
47,50.3,16.9,3,3,1,4,10.2,4.2,1,73.7,3,2,2,1,1
48,57.6,17.1,4,3,2,1,9.699999999999999,8,3,75,3,1,4,2,1
49,66.09999999999999,15.2,2,3,2,4,9.199999999999999,7.3,2,94.90000000000001,4,2,1,2,1
50,52.1,16.7,3,3,2,2,10.3,5.4,1,73.3,3,2,4,2,6
51,41.4,15.8,2,3,2,1,3.6,5.2,1,58.8,1,1,4,1,5
52,49.6,16.3,3,1,1,6,4.9,8.6,3,81.2,4,2,1,1,1
53,58.3,17.6,4,2,2,6,8.4,7.7,2,57.2,1,2,4,1,2
54,58.7,14.8,1,3,1,4,6.2,8.699999999999999,3,81.7,4,2,1,2,1
55,45.8,17.7,4,1,1,4,11.9,5.7,1,57.2,1,2,4,1,1
56,56.1,16.5,3,1,2,6,7,6.2,1,67.3,2,2,3,2,4
57,49.2,14.5,1,1,1,2,7,6.2,1,61.1,1,2,4,2,1
58,66.09999999999999,18.4,5,1,1,1,9.300000000000001,6.5,2,72.09999999999999,3,1,4,2,6
59,59.6,16.9,3,3,1,2,11.2,5.6,1,64.90000000000001,2,1,1,1,6
60,32.7,15.4,2,2,1,1,2.8,6.8,2,53.3,1,1,3,1,1
61,68.59999999999999,14.2,1,2,1,3,7.6,7.8,3,68.3,2,2,4,2,3
62,54.2,14.4,1,2,1,2,7.9,7.5,2,61.5,1,2,4,1,2
63,25,16.2,3,1,1,1,5.5,7.3,2,50.1,1,1,4,1,3
64,74.3,17.8,4,3,2,2,7.2,9.1,3,82.90000000000001,4,2,1,2,1
65,42.9,16.6,3,1,1,2,7,5.4,1,51.8,1,2,2,1,2
66,52.9,14.7,1,1,1,6,8.5,6,1,80.40000000000001,3,2,3,1,4
67,61.1,18.5,5,3,2,3,6.6,7,2,82.40000000000001,4,2,4,2,2
68,48,14,1,3,1,3,7.7,6,1,69.09999999999999,2,2,3,2,4
69,47.9,18.9,5,1,2,1,4,7.1,2,66.7,2,1,2,1,3
70,59.3,15.8,2,3,1,6,7.4,7.3,3,81,4,2,2,2,2
71,71.8,18.5,5,2,2,5,9.5,8.800000000000001,3,85.59999999999999,4,2,2,2,5
72,68,16.8,3,2,1,1,9.300000000000001,7,2,99.7,4,2,1,1,4
73,25.1,17.3,4,2,1,3,2.4,6.6,2,57.1,1,2,3,1,1
74,55.3,17.8,4,1,2,2,8,6.7,1,85.09999999999999,4,1,3,2,1
75,40.2,16.6,3,1,2,4,4.4,6.9,1,53.3,1,2,3,1,3
76,49.4,14.5,1,2,1,2,9.4,6.8,2,81.7,4,1,2,2,1
77,68,16.1,3,1,2,2,7.1,7.3,3,83.8,4,2,1,2,3
78,52.8,16.5,3,1,1,2,7.1,8.4,3,75.40000000000001,3,2,1,1,1
79,59.1,15.6,2,3,2,4,5.8,8,2,86.5,4,2,2,2,3
80,44.2,18.7,5,3,2,5,5.9,6.5,2,72.2,3,2,2,1,1
81,64.09999999999999,14.7,1,2,2,4,7.1,7.1,2,80.90000000000001,4,1,1,1,6
82,31.5,18.4,5,1,1,1,4.3,5.5,1,58.9,1,2,3,1,2
83,54.2,15,1,2,1,3,9.699999999999999,7.1,3,57.8,1,2,1,2,4
84,72,14.2,1,3,2,2,11.2,8.800000000000001,3,75.5,3,1,1,2,2
85,64.2,16.5,3,3,1,2,10.2,7.1,2,74.2,3,2,4,1,6
86,41.3,15.9,2,3,1,3,7.9,8.4,3,75,3,2,3,1,1
87,46.4,18.6,5,1,1,2,4.5,7.5,2,68.59999999999999,2,2,3,1,3
88,86.59999999999999,15.1,2,1,1,4,9.6,7.3,3,99,4,2,1,2,5
89,37.2,16.8,3,2,1,1,6.9,5.9,1,69.09999999999999,2,1,4,1,6
90,38.5,14.4,1,1,2,3,8.4,4.2,1,60.9,1,2,3,2,2
91,32.7,17.7,4,2,1,6,3.9,8.300000000000001,3,50.4,1,1,4,1,4
92,68.40000000000001,17.3,4,3,2,2,7.2,6.3,1,77.09999999999999,3,2,3,2,1
93,33.3,16,2,1,2,6,12.3,4.1,1,65.40000000000001,2,2,4,2,4
94,49.6,17.5,4,2,1,1,8.199999999999999,6,1,60.9,1,1,3,1,5
95,37,18.7,5,2,2,5,9.6,4.3,1,63.6,2,2,4,1,6
96,32.1,16.9,3,2,1,1,4.3,6,1,63.8,2,2,4,2,1
97,53,17.1,4,1,1,2,8.1,7.3,1,77.5,3,1,3,2,5
98,69.8,18.5,5,1,2,5,10.8,7.4,3,72.5,3,2,4,2,5
99,75.7,18.9,5,2,2,6,12,6.8,1,95.90000000000001,4,2,3,1,3
100,27.1,15.4,2,2,1,1,5.9,6.9,2,53.5,1,1,4,1,5
101,43.2,14.1,1,3,2,1,4.2,9.699999999999999,3,66.5,2,2,3,2,1
102,28.9,15.3,2,1,2,2,2.2,7.3,2,52.7,1,2,4,1,1
103,73.5,14.6,1,3,2,6,10.5,9,3,87.8,4,2,1,2,1
104,85.2,16.5,3,1,2,6,11.5,6.7,1,81.40000000000001,4,2,1,2,6
105,63.6,17.7,4,3,2,6,11.8,7.2,2,83,4,2,1,2,6
106,74.7,16.4,3,1,2,1,13.9,5.4,1,78.5,3,2,2,2,5
107,61.2,14.2,1,2,1,1,5.7,9.199999999999999,3,80.90000000000001,4,1,3,1,2
